Company,ISIN
Marui Group Co Ltd,JP3870400003
Ibiden Co Ltd,JP3148800000
Nikon Corp,JP3657400002
J.Front Retailing Co Ltd,JP3386380004
Odakyu Electric Railway Co Ltd,JP3196000008
Persol Holdings Co Ltd,JP3547670004
Lion Corp,JP3965400009
Tohoku Electric Power Co Inc,JP3605400005
Sugi Holdings Co Ltd,JP3397060009
NOF Corp,JP3753400005
Yamato Kogyo Co Ltd,JP3940400009
Sundrug Co Ltd,JP3336600006
Tobu Railway Co Ltd,JP3597800006
Iyogin Holdings Inc,JP3149700001
Mitsubishi Gas Chemical Co Inc,JP3896800004
Tokyo Tatemono Co Ltd,JP3582600007
Santen Pharmaceutical Co Ltd,JP3336000009
Hachijuni Bank Ltd,JP3769000005
Food & Life Companies Ltd,JP3397150008
LIXIL Corp,JP3626800001
Amada Co Ltd,JP3122800000
THK Co Ltd,JP3539250005
NEC Networks & System Integration Corp,JP3733800001
Keio Corp,JP3277800003
DeNA Co Ltd,JP3548610009
Rinnai Corp,JP3977400005
Nisshin Seifun Group Inc,JP3676800000
Furukawa Electric Co Ltd,JP3827200001
Medipal Holdings Corp,JP3268950007
Taiheiyo Cement Corp,JP3449020001
Welcia Holdings Co Ltd,JP3274280001
Tokyo Ohka Kogyo Co Ltd,JP3571800006
Tsuruha Holdings Inc,JP3536150000
Internet Initiative Japan Inc,JP3152820001
Fujitec Co Ltd,JP3818800009
Gunma Bank Ltd,JP3276400003
NH Foods Ltd,JP3743000006
Sumitomo Rubber Industries Ltd,JP3404200002
Kakaku.com Inc,JP3206000006
Electric Power Development Co Ltd,JP3551200003
MARUWA Co Ltd,JP3879250003
Coca-Cola Bottlers Japan Holdings Inc,JP3293200006
Nichirei Corp,JP3665200006
Aeon Mall Co Ltd,JP3131430005
Biprogy Inc,JP3754200008
Kobayashi Pharmaceutical Co Ltd,JP3301100008
Air Water Inc,JP3160670000
Toho Gas Co Ltd,JP3600200004
Japan Airport Terminal Co Ltd,JP3699400002
NHK Spring Co Ltd,JP3742600004
Horiba Ltd,JP3853000002
Comsys Holdings Corp,JP3305530002
Stanley Electric Co Ltd,JP3399400005
Seino Holdings Co Ltd,JP3415400005
Sumco Corp,JP3322930003
Yamada Holdings Co Ltd,JP3939000000
Hakuhodo DY Holdings Inc,JP3766550002
Kansai Paint Co Ltd,JP3229400001
Toyo Seikan Group Holdings Ltd,JP3613400005
Miura Co Ltd,JP3880800002
Dexerials Corp,JP3548770001
Infroneer Holdings Inc,JP3153850007
Takashimaya Co Ltd,JP3456000003
Mitsubishi Logistics Corp,JP3902000003
Alfresa Holdings Corp,JP3126340003
NOK Corp,JP3164800009
Takasago Thermal Engineering Co Ltd,JP3455200000
Keikyu Corp,JP3280200001
Kewpie Corp,JP3244800003
JTEKT Corp,JP3292200007
Dentsu Soken Inc,JP3551530003
Japan Steel Works Ltd,JP3721400004
Yamaguchi Financial Group Inc,JP3935300008
Toyo Tire Corp,JP3610600003
Toei Co Ltd,JP3560000006
Suzuken Co Ltd,JP3398000004
Rakus Co Ltd,JP3967170006
Tokyo Seimitsu Co Ltd,JP3580200008
Calbee Inc,JP3220580009
Yaoko Co Ltd,JP3930200005
DMG Mori Co Ltd,JP3924800000
Mercari Inc,JP3921290007
Kose Corp,JP3283650004
Nihon Kohden Corp,JP3706800004
Zenkoku Hosho Co Ltd,JP3429250008
Kotobuki Spirits Co Ltd,JP3299600001
Keihan Holdings Co Ltd,JP3279400000
Socionext Inc,JP3433500000
Hirogin Holdings Inc,JP3796150005
Toyota Boshoku Corp,JP3635400009
Kamigumi Co Ltd,JP3219000001
Nifco Inc,JP3756200006
Sumitomo Heavy Industries Ltd,JP3405400007
SHIFT Inc,JP3355400007
Daicel Corp,JP3485800001
Iwatani Corp,JP3151600008
EXEO Group Inc,JP3254200003
Hisamitsu Pharmaceutical Co Inc,JP3784600003
Tomy Co Ltd,JP3630550006
Seven Bank Ltd,JP3105220002
Nagoya Railroad Co Ltd,JP3649800004
77 Bank Ltd,JP3352000008
Kyushu Financial Group Inc,JP3246500007
Ito En Ltd,JP3143000002
Park24 Co Ltd,JP3780100008
Taiyo Yuden Co Ltd,JP3452000007
Sankyu Inc,JP3326000001
Zeon Corp,JP3725400000
Goldwin Inc,JP3306600002
Rorze Corp,JP3982200002
Toyoda Gosei Co Ltd,JP3634200004
Alps Alpine Co Ltd,JP3126400005
TORIDOLL Holdings Corp,JP3636650008
Round One Corp,JP3966800009
Kokuyo Co Ltd,JP3297000006
Macnica Holdings Inc,JP3862960006
Fuyo General Lease Co Ltd,JP3826270005
Tsumura & Co,JP3535800001
Kusuri No Aoki Holdings Co Ltd,JP3266190002
Organo Corp,JP3201600008
Resorttrust Inc,JP3974450003
Sumitomo Bakelite Co Ltd,JP3409400003
SKY Perfect JSAT Holdings Inc,JP3396350005
U-Next Holdings Co Ltd,JP3944640006
Nippon Electric Glass Co Ltd,JP3733400000
Chugoku Electric Power Co Inc,JP3522200009
NSK Ltd,JP3720800006
Kyudenko Corp,JP3247050002
Toho Holdings Co Ltd,JP3602600003
Nagase & Co Ltd,JP3647800006
TechnoPro Holdings Inc,JP3545240008
Ezaki Glico Co Ltd,JP3161200005
GMO Internet Group Inc,JP3152750000
Toda Corp,JP3627000007
DIC Corp,JP3493400000
Sumitomo Pharma Co Ltd,JP3495000006
Topcon Corp,JP3630400004
Mitsubishi Materials Corp,JP3903000002
Aozora Bank Ltd,JP3711200000
Bic Camera Inc,JP3800390001
Nichias Corp,JP3660400007
Chugin Financial Group Inc,JP3520700000
Fujitsu General Ltd,JP3818400008
Nishi-Nippon Financial Holdings Inc,JP3658850007
Nabtesco Corp,JP3651210001
Mabuchi Motor Co Ltd,JP3870000001
PAL Group Holdings Co Ltd,JP3781650001
NSD Co Ltd,JP3712600000
Casio Computer Co Ltd,JP3209000003
Sansan Inc,JP3332540008
Makino Milling Machine Co Ltd,JP3862800004
JGC Holdings Corp,JP3667600005
Modec Inc,JP3888250002
Amano Corp,JP3124400007
Relo Group Inc,JP3755200007
Nikkon Holdings Co Ltd,JP3709600005
Japan Petroleum Exploration Co Ltd,JP3421100003
Maruichi Steel Tube Ltd,JP3871200006
Adeka Corp,JP3114800000
Visional Inc,JP3800270005
Mizuho Leasing Co Ltd,JP3286500008
Wacoal Holdings Corp,JP3992400006
H2O Retailing Corp,JP3774600005
Nippon Shokubai Co Ltd,JP3715200006
DOWA Holdings Co Ltd,JP3638600001
Ulvac Inc,JP3126190002
Hino Motors Ltd,JP3792600003
Nankai Electric Railway Co Ltd,JP3653000004
Pola Orbis Holdings Inc,JP3855900001
TV Asahi Holdings Corp,JP3429000007
PeptiDream Inc,JP3836750004
Nippon Shinyaku Co Ltd,JP3717600005
House Foods Group Inc,JP3765400001
Hokuhoku Financial Group Inc,JP3842400008
MIXI Inc,JP3882750007
Konica Minolta Inc,JP3300600008
Create Restaurants Holdings Inc,JP3269930008
JEOL Ltd,JP3735000006
Takeuchi Mfg Co Ltd,JP3462660006
K'S Holdings Corp,JP3277150003
Kagome Co Ltd,JP3208200000
Nissui Corp,JP3718800000
Sawai Group Holdings Co Ltd,JP3323040000
Daiei Kankyo Co Ltd,JP3480470008
Morinaga Milk Industry Co Ltd,JP3926800008
Aeon Financial Service Co Ltd,JP3131400008
Suruga Bank Ltd,JP3411000007
Daiwabo Holdings Co Ltd,JP3505400006
Teijin Ltd,JP3544000007
Sho-Bond Holdings Co Ltd,JP3360250009
Daido Steel Co Ltd,JP3491000000
Shiga Bank Ltd,JP3347600003
Japan Elevator Service Holdings Co Ltd,JP3389510003
Daishi Hokuetsu Financial Group Inc,JP3483850008
Hokuetsu Corp,JP3841800000
GungHo Online Entertainment Inc,JP3235900002
Nippon Gas Co Ltd,JP3695600001
Senko Group Holdings Co Ltd,JP3423800006
GS Yuasa Corp,JP3385820000
Rigaku Holdings Corp,JP3969750003
FP Corp,JP3167000003
Justsystems Corp,JP3388450003
Money Forward Inc,JP3869960009
PALTAC Corp,JP3782200004
Mitsui Mining and Smelting Co Ltd,JP3888400003
Kaneka Corp,JP3215800008
UACJ Corp,JP3826900007
Hazama Ando Corp,JP3767810009
UBE Corp,JP3158800007
TS Tech Co Ltd,JP3539230007
Taiyo Holdings Co Ltd,JP3449100001
Nojima Corp,JP3761600000
MEITEC Group Holdings Inc,JP3919200000
Shikoku Electric Power Co Inc,JP3350800003
JVCKENWOOD Corp,JP3386410009
Saizeriya Co Ltd,JP3310500008
Takara Holdings Inc,JP3459600007
Exedy Corp,JP3161160001
Kyoritsu Maintenance Co Ltd,JP3253900009
Okuma Corp,JP3172100004
Morinaga & Co Ltd,JP3926400007
Heiwa Corp,JP3834200002
Fuji Oil Holdings Inc,JP3816400000
Nipro Corp,JP3673600007
Ushio Inc,JP3156400008
Sotetsu Holdings Inc,JP3316400005
Aica Kogyo Co Ltd,JP3100800006
Nippon Kayaku Co Ltd,JP3694400007
Inaba Denki Sangyo Co Ltd,JP3146200005
Digital Garage Inc,JP3549070005
Citizen Watch Co Ltd,JP3352400000
Aeon Delight Co Ltd,JP3389700000
Rengo Co Ltd,JP3981400009
Sumitomo Warehouse Co Ltd,JP3407000003
Fuji Corp (Aichi),JP3809200003
Izumi Co Ltd,JP3138400001
Mizuno Corp,JP3905200006
Mirait One Corp,JP3910620008
Starts Corp Inc,JP3399200009
Mitsubishi Logisnext Co Ltd,JP3753800006
Monex Group Inc,JP3869970008
Kanematsu Corp,JP3217100001
Ohsho Food Service Corp,JP3174300008
Itoham Yonekyu Holdings Inc,JP3144500000
Tsubakimoto Chain Co,JP3535400000
Meiko Electronics Co Ltd,JP3915350007
Lintec Corp,JP3977200009
Meidensha Corp,JP3919800007
Matsui Securities Co Ltd,JP3863800003
Tokai Carbon Co Ltd,JP3560800009
Tokai Rika Co Ltd,JP3566600007
Hanwa Co Ltd,JP3777800008
Financial Partners Group Co Ltd,JP3166990006
Mitsubishi Shokuhin Co Ltd,JP3976000004
Nihon M&A Center Holdings Inc,JP3689050007
North Pacific Bank Ltd,JP3843400007
Micronics Japan Co Ltd,JP3750400008
Pigeon Corp,JP3801600002
TKC Corp,JP3539400006
Nishimatsu Construction Co Ltd,JP3659200004
Kaken Pharmaceutical Co Ltd,JP3207000005
DCM Holdings Co Ltd,JP3548660004
JMDC Inc,JP3386690006
San-in Godo Bank Ltd,JP3324000003
Seiko Group Corp,JP3414700009
Ship Healthcare Holdings Inc,JP3274150006
Leopalace21 Corp,JP3167500002
Okamura Corp,JP3192400004
Nitto Boseki Co Ltd,JP3684400009
Ariake Japan Co Ltd,JP3125800007
Tokuyama Corp,JP3625000009
EDION Corp,JP3164470001
Anritsu Corp,JP3128800004
As One Corp,JP3131300000
Max Co Ltd,JP3864800002
Yoshinoya Holdings Co Ltd,JP3958000006
SWCC Corp,JP3368400002
San-A Co Ltd,JP3324500002
Japan Aviation Electronics Industry Ltd,JP3705600009
Create SD Holdings Co Ltd,JP3269940007
Penta-Ocean Construction Co Ltd,JP3309000002
Chudenko Corp,JP3524000001
Yodogawa Steel Works Ltd,JP3959400007
Denka Co Ltd,JP3549600009
Daiseki Co Ltd,JP3485600005
Itochu Enex Co Ltd,JP3144000001
Mitsui Soko Holdings Co Ltd,JP3891200002
Anycolor Inc,JP3164780003
Nohmi Bosai Ltd,JP3759800000
Mitsui High-tec Inc,JP3892400007
Sanki Engineering Co Ltd,JP3325600009
Duskin Co Ltd,JP3505900005
Hyakugo Bank Ltd,JP3793800008
Heiwa Real Estate Co Ltd,JP3834800009
Colowide Co Ltd,JP3305970000
Sakura Internet Inc,JP3317300006
Daihen Corp,JP3497800007
Sinfonia Technology Co Ltd,JP3375400003
Megmilk Snow Brand Co Ltd,JP3947800003
Osaka Soda Co Ltd,JP3485900009
DTS Corp,JP3548500002
Tamron Co Ltd,JP3471800007
Musashi Seimitsu Industry Co Ltd,JP3912700006
Life Corp,JP3966600003
Fuji Co Ltd,JP3807400001
Appier Group Inc,JP3160960005
Dai-Dan Co Ltd,JP3486000007
Tokyo Steel Manufacturing Co Ltd,JP3579800008
Toshiba Tec Corp,JP3594000006
Juroku Financial Group Inc,JP3392650002
Daiichikosho Co Ltd,JP3475200006
Sumitomo Riko Co Ltd,JP3564200008
Seiren Co Ltd,JP3413800008
Kissei Pharmaceutical Co Ltd,JP3240600001
Pilot Corp,JP3780610006
Mitsui E&S Co Ltd,JP3891600003
Sangetsu Corp,JP3330000005
Nishi-Nippon Railroad Co Ltd,JP3658800002
OSG Corp,JP3170800001
Future Corp,JP3826200002
Inabata & Co Ltd,JP3146000009
Open Up Group Inc,JP3635580008
Nihon Parkerizing Co Ltd,JP3744600002
Jins Holdings Inc,JP3386110005
Token Corp,JP3590900001
artience Co Ltd,JP3606600009
Aiful Corp,JP3105040004
Pressance Corp,JP3833300001
Nippn Corp,JP3723000000
Fujimi Inc,JP3820900003
Kumagai Gumi Co Ltd,JP3266800006
Okumura Corp,JP3194800003
Nippon Soda Co Ltd,JP3726200003
AZ-Com Maruwa Holdings Inc,JP3879170003
Konoike Transport Co Ltd,JP3288970001
Sumitomo Densetsu Co Ltd,JP3407800006
Simplex Holdings Inc,JP3383270000
Ricoh Leasing Co Ltd,JP3974100004
Katitas Co Ltd,JP3932950003
Hokuriku Electric Power Co,JP3845400005
Sanken Electric Co Ltd,JP3329600005
Fuji Seal International Inc,JP3813800004
Shochiku Co Ltd,JP3362800009
Cybozu Inc,JP3312100005
Maruha Nichiro Corp,JP3876600002
Noritsu Koki Co Ltd,JP3759500006
Mitsubishi Pencil Co Ltd,JP3895600009
Nisshin OilliO Group Ltd,JP3677200002
F.C.C. Co Ltd,JP3166900005
Tokyo Kiraboshi Financial Group Inc,JP3584400000
AIN Holdings Inc,JP3105250009
CKD Corp,JP3346800000
Sakata Seed Corp,JP3315000004
Toagosei Co Ltd,JP3556400004
Kanadevia Corp,JP3789000001
Hokkaido Electric Power Co Inc,JP3850200001
Japan Securities Finance Co Ltd,JP3714400003
Ichigo Inc,JP3120010008
Japan Material Co Ltd,JP3389680004
Arcs Co Ltd,JP3968600001
United Super Markets Holdings Inc,JP3949450005
Kato Sangyo Co Ltd,JP3213300001
Taikisha Ltd,JP3441200007
Askul Corp,JP3119920001
Komeri Co Ltd,JP3305600003
Kaga Electronics Co Ltd,JP3206200002
Kureha Corp,JP3271600003
Glory Ltd,JP3274400005
Ichibanya Co Ltd,JP3142150006
Nisshinbo Holdings Inc,JP3678000005
Takuma Co Ltd,JP3462600002
Paramount Bed Holdings Co Ltd,JP3781620004
Nishimatsuya Chain Co Ltd,JP3659300002
Elecom Co Ltd,JP3168200008
H.U. Group Holdings Inc,JP3822000000
Sanyo Special Steel Co Ltd,JP3342000001
Systena Corp,JP3351050004
Kiyo Bank Ltd,JP3248000006
MANI Inc,JP3869920003
Adastria Co Ltd,JP3856000009
ARE Holdings Inc,JP3116700000
KYB Corp,JP3220200004
Fukuyama Transporting Co Ltd,JP3806800003
Towa Pharmaceutical Co Ltd,JP3623150004
Nissan Shatai Co Ltd,JP3672000001
Aichi Steel Corp,JP3103600007
Yellow Hat Ltd,JP3131350005
Noevir Holdings Co Ltd,JP3760450001
Okasan Securities Group Inc,JP3190800007
Tadano Ltd,JP3465000002
Kasumigaseki Capital Co Ltd,JP3211050004
Ryoyo Ryosan Holdings Inc,JP3975410006
Daio Paper Corp,JP3440400004
Orient Corp,JP3199000005
Aichi Financial Group Inc,JP3104790005
Riken Keiki Co Ltd,JP3971000009
transcosmos Inc,JP3635700002
PHC Holdings Corp,JP3801300009
Namura Shipbuilding Co Ltd,JP3651400008
Bunka Shutter Co Ltd,JP3831600006
Takasago International Corp,JP3454400007
Belc Co Ltd,JP3835700000
dip Corp,JP3548640006
JACCS Co Ltd,JP3388600003
Nippon Densetsu Kogyo Co Ltd,JP3736200001
Kura Sushi Inc,JP3268200007
Tokyotokeiba Co Ltd,JP3586600003
JAC Recruitment Co Ltd,JP3386130003
Tokai Holdings Corp,JP3552260006
JAFCO Group Co Ltd,JP3389900006
Tokai Tokyo Financial Holdings Inc,JP3577600004
Trusco Nakayama Corp,JP3635500006
Hosiden Corp,JP3845800006
Shin-Etsu Polymer Co Ltd,JP3371600002
Shibaura Mechatronics Corp,JP3355000005
NTN Corp,JP3165600002
Fuji Kyuko Co Ltd,JP3810400006
Hokkoku Financial Holdings Inc,JP3851600001
PKSHA Technology Inc,JP3780050005
Joyful Honda Co Ltd,JP3392920009
Raito Kogyo Co Ltd,JP3965800000
Fuso Chemical Co Ltd,JP3822600007
Kohnan Shoji Co Ltd,JP3283750002
Komeda Holdings Co Ltd,JP3305580007
Tri Chemical Laboratories Inc,JP3636000006
Toyo Construction Co Ltd,JP3609800002
WingArc1st Inc,JP3154360006
Monogatari Corp,JP3922930007
Heiwado Co Ltd,JP3834400008
Mitani Sekisan Co Ltd,JP3887600009
Bank of Nagoya Ltd,JP3648800005
Aisan Industry Co Ltd,JP3101600009
Yamazen Corp,JP3936800006
IDOM Inc,JP3235700006
Torii Pharmaceutical Co Ltd,JP3635800000
HIS Co Ltd,JP3160740001
Maruzen Showa Unyu Co Ltd,JP3876000005
Towa Corp,JP3555700008
