Date,Company,ISIN,Rf (%)
2020-03-31,Industrial and Commercial Bank of China Ltd,CNE1000003G1,0.11
2020-03-31,China Mobile Ltd,HK0941009539,0.11
2020-03-31,Bank of China Ltd,CNE1000001Z5,0.11
2020-03-31,China Construction Bank Corp,CNE1000002H1,0.11
2020-03-31,HSBC Holdings PLC,GB0005405286,0.11
2020-03-31,PetroChina Co Ltd,CNE1000003W8,0.11
2020-03-31,China Life Insurance Co Ltd,CNE1000002L3,0.11
2020-03-31,Ping An Insurance Group Co of China Ltd,CNE1000003X6,0.11
2020-03-31,CNOOC Ltd,HK0883013259,0.11
2020-03-31,China Petroleum & Chemical Corp,CNE1000002Q2,0.11
2020-03-31,AIA Group Ltd,HK0000069689,0.11
2020-03-31,Hong Kong Exchanges and Clearing Ltd,HK0388045442,0.11
2020-03-31,China Unicom Hong Kong Ltd,HK0000049939,0.11
2020-03-31,BOC Hong Kong Holdings Ltd,HK2388011192,0.11
2020-03-31,CITIC Ltd,HK0267001375,0.11
2020-03-31,Sun Hung Kai Properties Ltd,HK0016000132,0.11
2020-03-31,Hang Seng Bank Ltd,HK0011000095,0.11
2020-03-31,Techtronic Industries Co Ltd,HK0669013440,0.11
2020-03-31,China Resources Land Ltd,KYG2108Y1052,0.11
2020-03-31,Geely Automobile Holdings Ltd,KYG3777B1032,0.11
2020-03-31,CLP Holdings Ltd,HK0002007356,0.11
2020-03-31,MTR Corp Ltd,HK0066009694,0.11
2020-03-31,China Overseas Land & Investment Ltd,HK0688002218,0.11
2020-03-31,CK Hutchison Holdings Ltd,KYG217651051,0.11
2020-03-31,Sands China Ltd,KYG7800X1079,0.11
2020-03-31,Galaxy Entertainment Group Ltd,HK0027032686,0.11
2020-03-31,CK Infrastructure Holdings Ltd,BMG2178K1009,0.11
2020-03-31,CK Asset Holdings Ltd,KYG2177B1014,0.11
2020-03-31,Hong Kong and China Gas Co Ltd,HK0003000038,0.11
2020-03-31,Power Assets Holdings Ltd,HK0006000050,0.11
2020-03-31,Henderson Land Development Co Ltd,HK0012000102,0.11
2020-03-31,Sunny Optical Technology Group Co Ltd,KYG8586D1097,0.11
2020-03-31,Link Real Estate Investment Trust,HK0823032773,0.11
2020-03-31,Shenzhou International Group Holdings Ltd,KYG8087W1015,0.11
2020-03-31,WH Group Ltd,KYG960071028,0.11
2020-03-31,China Mengniu Dairy Co Ltd,KYG210961051,0.11
2020-03-31,Sino Biopharmaceutical Ltd,KYG8167W1380,0.11
2020-03-31,Wharf Real Estate Investment Company Ltd,KYG9593A1040,0.11
2020-03-31,CSPC Pharmaceutical Group Ltd,HK1093012172,0.11
2020-03-31,Hang Lung Properties Ltd,HK0101000591,0.11
2020-03-31,Hengan International Group Company Ltd,KYG4402L1510,0.11
2020-03-31,New World Dev,HK0000608585,0.11
2020-03-31,CountryGarden,KYG245241032,0.11
2020-03-31,AAC Tech Hldg,KYG2953R1149,0.11
2020-03-31,BOCOM,CNE100000205,0.11
2020-03-31,Swire Pacific,HK0019000162,0.11
2020-03-31,China Shenhua,CNE1000002R0,0.11
2020-03-31,Sino Land,HK0083000502,0.11
2020-03-31,Want Want China,KYG9431R1039,0.11
2020-04-30,Tencent Holdings Ltd,KYG875721634,0.09
2020-04-30,Industrial and Commercial Bank of China Ltd,CNE1000003G1,0.09
2020-04-30,China Mobile Ltd,HK0941009539,0.09
2020-04-30,Bank of China Ltd,CNE1000001Z5,0.09
2020-04-30,China Construction Bank Corp,CNE1000002H1,0.09
2020-04-30,HSBC Holdings PLC,GB0005405286,0.09
2020-04-30,PetroChina Co Ltd,CNE1000003W8,0.09
2020-04-30,China Life Insurance Co Ltd,CNE1000002L3,0.09
2020-04-30,Ping An Insurance Group Co of China Ltd,CNE1000003X6,0.09
2020-04-30,CNOOC Ltd,HK0883013259,0.09
2020-04-30,China Petroleum & Chemical Corp,CNE1000002Q2,0.09
2020-04-30,AIA Group Ltd,HK0000069689,0.09
2020-04-30,Hong Kong Exchanges and Clearing Ltd,HK0388045442,0.09
2020-04-30,China Unicom Hong Kong Ltd,HK0000049939,0.09
2020-04-30,BOC Hong Kong Holdings Ltd,HK2388011192,0.09
2020-04-30,CITIC Ltd,HK0267001375,0.09
2020-04-30,Sun Hung Kai Properties Ltd,HK0016000132,0.09
2020-04-30,Hang Seng Bank Ltd,HK0011000095,0.09
2020-04-30,Techtronic Industries Co Ltd,HK0669013440,0.09
2020-04-30,China Resources Land Ltd,KYG2108Y1052,0.09
2020-04-30,Geely Automobile Holdings Ltd,KYG3777B1032,0.09
2020-04-30,CLP Holdings Ltd,HK0002007356,0.09
2020-04-30,MTR Corp Ltd,HK0066009694,0.09
2020-04-30,China Overseas Land & Investment Ltd,HK0688002218,0.09
2020-04-30,CK Hutchison Holdings Ltd,KYG217651051,0.09
2020-04-30,Sands China Ltd,KYG7800X1079,0.09
2020-04-30,Galaxy Entertainment Group Ltd,HK0027032686,0.09
2020-04-30,CK Infrastructure Holdings Ltd,BMG2178K1009,0.09
2020-04-30,CK Asset Holdings Ltd,KYG2177B1014,0.09
2020-04-30,Hong Kong and China Gas Co Ltd,HK0003000038,0.09
2020-04-30,Power Assets Holdings Ltd,HK0006000050,0.09
2020-04-30,Henderson Land Development Co Ltd,HK0012000102,0.09
2020-04-30,Sunny Optical Technology Group Co Ltd,KYG8586D1097,0.09
2020-04-30,Link Real Estate Investment Trust,HK0823032773,0.09
2020-04-30,Shenzhou International Group Holdings Ltd,KYG8087W1015,0.09
2020-04-30,WH Group Ltd,KYG960071028,0.09
2020-04-30,China Mengniu Dairy Co Ltd,KYG210961051,0.09
2020-04-30,Sino Biopharmaceutical Ltd,KYG8167W1380,0.09
2020-04-30,Wharf Real Estate Investment Company Ltd,KYG9593A1040,0.09
2020-04-30,CSPC Pharmaceutical Group Ltd,HK1093012172,0.09
2020-04-30,Hang Lung Properties Ltd,HK0101000591,0.09
2020-04-30,Hengan International Group Company Ltd,KYG4402L1510,0.09
2020-04-30,New World Dev,HK0000608585,0.09
2020-04-30,CountryGarden,KYG245241032,0.09
2020-04-30,AAC Tech Hldg,KYG2953R1149,0.09
2020-04-30,BOCOM,CNE100000205,0.09
2020-04-30,Swire Pacific,HK0019000162,0.09
2020-04-30,China Shenhua,CNE1000002R0,0.09
2020-04-30,Sino Land,HK0083000502,0.09
2020-04-30,Want Want China,KYG9431R1039,0.09
2020-05-29,Tencent Holdings Ltd,KYG875721634,0.14
2020-05-29,Industrial and Commercial Bank of China Ltd,CNE1000003G1,0.14
2020-05-29,China Mobile Ltd,HK0941009539,0.14
2020-05-29,Bank of China Ltd,CNE1000001Z5,0.14
2020-05-29,China Construction Bank Corp,CNE1000002H1,0.14
2020-05-29,HSBC Holdings PLC,GB0005405286,0.14
2020-05-29,PetroChina Co Ltd,CNE1000003W8,0.14
2020-05-29,China Life Insurance Co Ltd,CNE1000002L3,0.14
2020-05-29,Ping An Insurance Group Co of China Ltd,CNE1000003X6,0.14
2020-05-29,CNOOC Ltd,HK0883013259,0.14
2020-05-29,China Petroleum & Chemical Corp,CNE1000002Q2,0.14
2020-05-29,AIA Group Ltd,HK0000069689,0.14
2020-05-29,Hong Kong Exchanges and Clearing Ltd,HK0388045442,0.14
2020-05-29,China Unicom Hong Kong Ltd,HK0000049939,0.14
2020-05-29,BOC Hong Kong Holdings Ltd,HK2388011192,0.14
2020-05-29,CITIC Ltd,HK0267001375,0.14
2020-05-29,Sun Hung Kai Properties Ltd,HK0016000132,0.14
2020-05-29,Hang Seng Bank Ltd,HK0011000095,0.14
2020-05-29,Techtronic Industries Co Ltd,HK0669013440,0.14
2020-05-29,China Resources Land Ltd,KYG2108Y1052,0.14
2020-05-29,Geely Automobile Holdings Ltd,KYG3777B1032,0.14
2020-05-29,CLP Holdings Ltd,HK0002007356,0.14
2020-05-29,MTR Corp Ltd,HK0066009694,0.14
2020-05-29,China Overseas Land & Investment Ltd,HK0688002218,0.14
2020-05-29,CK Hutchison Holdings Ltd,KYG217651051,0.14
2020-05-29,Sands China Ltd,KYG7800X1079,0.14
2020-05-29,Galaxy Entertainment Group Ltd,HK0027032686,0.14
2020-05-29,CK Infrastructure Holdings Ltd,BMG2178K1009,0.14
2020-05-29,CK Asset Holdings Ltd,KYG2177B1014,0.14
2020-05-29,Hong Kong and China Gas Co Ltd,HK0003000038,0.14
2020-05-29,Power Assets Holdings Ltd,HK0006000050,0.14
2020-05-29,Henderson Land Development Co Ltd,HK0012000102,0.14
2020-05-29,Sunny Optical Technology Group Co Ltd,KYG8586D1097,0.14
2020-05-29,Link Real Estate Investment Trust,HK0823032773,0.14
2020-05-29,Shenzhou International Group Holdings Ltd,KYG8087W1015,0.14
2020-05-29,WH Group Ltd,KYG960071028,0.14
2020-05-29,China Mengniu Dairy Co Ltd,KYG210961051,0.14
2020-05-29,Sino Biopharmaceutical Ltd,KYG8167W1380,0.14
2020-05-29,Wharf Real Estate Investment Company Ltd,KYG9593A1040,0.14
2020-05-29,CSPC Pharmaceutical Group Ltd,HK1093012172,0.14
2020-05-29,Hang Lung Properties Ltd,HK0101000591,0.14
2020-05-29,Hengan International Group Company Ltd,KYG4402L1510,0.14
2020-05-29,New World Dev,HK0000608585,0.14
2020-05-29,CountryGarden,KYG245241032,0.14
2020-05-29,AAC Tech Hldg,KYG2953R1149,0.14
2020-05-29,BOCOM,CNE100000205,0.14
2020-05-29,Swire Pacific,HK0019000162,0.14
2020-05-29,China Shenhua,CNE1000002R0,0.14
2020-05-29,Sino Land,HK0083000502,0.14
2020-05-29,Want Want China,KYG9431R1039,0.14
2020-06-30,Tencent Holdings Ltd,KYG875721634,0.16
2020-06-30,Industrial and Commercial Bank of China Ltd,CNE1000003G1,0.16
2020-06-30,China Mobile Ltd,HK0941009539,0.16
2020-06-30,Bank of China Ltd,CNE1000001Z5,0.16
2020-06-30,China Construction Bank Corp,CNE1000002H1,0.16
2020-06-30,HSBC Holdings PLC,GB0005405286,0.16
2020-06-30,PetroChina Co Ltd,CNE1000003W8,0.16
2020-06-30,China Life Insurance Co Ltd,CNE1000002L3,0.16
2020-06-30,Ping An Insurance Group Co of China Ltd,CNE1000003X6,0.16
2020-06-30,CNOOC Ltd,HK0883013259,0.16
2020-06-30,China Petroleum & Chemical Corp,CNE1000002Q2,0.16
2020-06-30,AIA Group Ltd,HK0000069689,0.16
2020-06-30,Hong Kong Exchanges and Clearing Ltd,HK0388045442,0.16
2020-06-30,China Unicom Hong Kong Ltd,HK0000049939,0.16
2020-06-30,BOC Hong Kong Holdings Ltd,HK2388011192,0.16
2020-06-30,CITIC Ltd,HK0267001375,0.16
2020-06-30,Sun Hung Kai Properties Ltd,HK0016000132,0.16
2020-06-30,Hang Seng Bank Ltd,HK0011000095,0.16
2020-06-30,Techtronic Industries Co Ltd,HK0669013440,0.16
2020-06-30,China Resources Land Ltd,KYG2108Y1052,0.16
2020-06-30,Geely Automobile Holdings Ltd,KYG3777B1032,0.16
2020-06-30,CLP Holdings Ltd,HK0002007356,0.16
2020-06-30,MTR Corp Ltd,HK0066009694,0.16
2020-06-30,China Overseas Land & Investment Ltd,HK0688002218,0.16
2020-06-30,CK Hutchison Holdings Ltd,KYG217651051,0.16
2020-06-30,Sands China Ltd,KYG7800X1079,0.16
2020-06-30,Galaxy Entertainment Group Ltd,HK0027032686,0.16
2020-06-30,CK Infrastructure Holdings Ltd,BMG2178K1009,0.16
2020-06-30,CK Asset Holdings Ltd,KYG2177B1014,0.16
2020-06-30,Hong Kong and China Gas Co Ltd,HK0003000038,0.16
2020-06-30,Power Assets Holdings Ltd,HK0006000050,0.16
2020-06-30,Henderson Land Development Co Ltd,HK0012000102,0.16
2020-06-30,Sunny Optical Technology Group Co Ltd,KYG8586D1097,0.16
2020-06-30,Link Real Estate Investment Trust,HK0823032773,0.16
2020-06-30,Shenzhou International Group Holdings Ltd,KYG8087W1015,0.16
2020-06-30,WH Group Ltd,KYG960071028,0.16
2020-06-30,China Mengniu Dairy Co Ltd,KYG210961051,0.16
2020-06-30,Sino Biopharmaceutical Ltd,KYG8167W1380,0.16
2020-06-30,Wharf Real Estate Investment Company Ltd,KYG9593A1040,0.16
2020-06-30,CSPC Pharmaceutical Group Ltd,HK1093012172,0.16
2020-06-30,Hang Lung Properties Ltd,HK0101000591,0.16
2020-06-30,Hengan International Group Company Ltd,KYG4402L1510,0.16
2020-06-30,New World Dev,HK0000608585,0.16
2020-06-30,CountryGarden,KYG245241032,0.16
2020-06-30,AAC Tech Hldg,KYG2953R1149,0.16
2020-06-30,BOCOM,CNE100000205,0.16
2020-06-30,Swire Pacific,HK0019000162,0.16
2020-06-30,China Shenhua,CNE1000002R0,0.16
2020-06-30,Sino Land,HK0083000502,0.16
2020-06-30,Want Want China,KYG9431R1039,0.16
2020-07-31,Tencent Holdings Ltd,KYG875721634,0.09
2020-07-31,Industrial and Commercial Bank of China Ltd,CNE1000003G1,0.09
2020-07-31,China Mobile Ltd,HK0941009539,0.09
2020-07-31,Bank of China Ltd,CNE1000001Z5,0.09
2020-07-31,China Construction Bank Corp,CNE1000002H1,0.09
2020-07-31,HSBC Holdings PLC,GB0005405286,0.09
2020-07-31,PetroChina Co Ltd,CNE1000003W8,0.09
2020-07-31,China Life Insurance Co Ltd,CNE1000002L3,0.09
2020-07-31,Ping An Insurance Group Co of China Ltd,CNE1000003X6,0.09
2020-07-31,CNOOC Ltd,HK0883013259,0.09
2020-07-31,China Petroleum & Chemical Corp,CNE1000002Q2,0.09
2020-07-31,AIA Group Ltd,HK0000069689,0.09
2020-07-31,Hong Kong Exchanges and Clearing Ltd,HK0388045442,0.09
2020-07-31,China Unicom Hong Kong Ltd,HK0000049939,0.09
2020-07-31,BOC Hong Kong Holdings Ltd,HK2388011192,0.09
2020-07-31,CITIC Ltd,HK0267001375,0.09
2020-07-31,Sun Hung Kai Properties Ltd,HK0016000132,0.09
2020-07-31,Hang Seng Bank Ltd,HK0011000095,0.09
2020-07-31,Techtronic Industries Co Ltd,HK0669013440,0.09
2020-07-31,China Resources Land Ltd,KYG2108Y1052,0.09
2020-07-31,Geely Automobile Holdings Ltd,KYG3777B1032,0.09
2020-07-31,CLP Holdings Ltd,HK0002007356,0.09
2020-07-31,MTR Corp Ltd,HK0066009694,0.09
2020-07-31,China Overseas Land & Investment Ltd,HK0688002218,0.09
2020-07-31,CK Hutchison Holdings Ltd,KYG217651051,0.09
2020-07-31,Sands China Ltd,KYG7800X1079,0.09
2020-07-31,Galaxy Entertainment Group Ltd,HK0027032686,0.09
2020-07-31,CK Infrastructure Holdings Ltd,BMG2178K1009,0.09
2020-07-31,CK Asset Holdings Ltd,KYG2177B1014,0.09
2020-07-31,Hong Kong and China Gas Co Ltd,HK0003000038,0.09
2020-07-31,Power Assets Holdings Ltd,HK0006000050,0.09
2020-07-31,Henderson Land Development Co Ltd,HK0012000102,0.09
2020-07-31,Sunny Optical Technology Group Co Ltd,KYG8586D1097,0.09
2020-07-31,Link Real Estate Investment Trust,HK0823032773,0.09
2020-07-31,Shenzhou International Group Holdings Ltd,KYG8087W1015,0.09
2020-07-31,WH Group Ltd,KYG960071028,0.09
2020-07-31,China Mengniu Dairy Co Ltd,KYG210961051,0.09
2020-07-31,Sino Biopharmaceutical Ltd,KYG8167W1380,0.09
2020-07-31,Wharf Real Estate Investment Company Ltd,KYG9593A1040,0.09
2020-07-31,CSPC Pharmaceutical Group Ltd,HK1093012172,0.09
2020-07-31,Hang Lung Properties Ltd,HK0101000591,0.09
2020-07-31,Hengan International Group Company Ltd,KYG4402L1510,0.09
2020-07-31,New World Dev,HK0000608585,0.09
2020-07-31,CountryGarden,KYG245241032,0.09
2020-07-31,AAC Tech Hldg,KYG2953R1149,0.09
2020-07-31,BOCOM,CNE100000205,0.09
2020-07-31,Swire Pacific,HK0019000162,0.09
2020-07-31,China Shenhua,CNE1000002R0,0.09
2020-07-31,Sino Land,HK0083000502,0.09
2020-07-31,Want Want China,KYG9431R1039,0.09
2020-08-31,Tencent Holdings Ltd,KYG875721634,0.11
2020-08-31,Industrial and Commercial Bank of China Ltd,CNE1000003G1,0.11
2020-08-31,China Mobile Ltd,HK0941009539,0.11
2020-08-31,Bank of China Ltd,CNE1000001Z5,0.11
2020-08-31,China Construction Bank Corp,CNE1000002H1,0.11
2020-08-31,HSBC Holdings PLC,GB0005405286,0.11
2020-08-31,PetroChina Co Ltd,CNE1000003W8,0.11
2020-08-31,China Life Insurance Co Ltd,CNE1000002L3,0.11
2020-08-31,Ping An Insurance Group Co of China Ltd,CNE1000003X6,0.11
2020-08-31,CNOOC Ltd,HK0883013259,0.11
2020-08-31,China Petroleum & Chemical Corp,CNE1000002Q2,0.11
2020-08-31,AIA Group Ltd,HK0000069689,0.11
2020-08-31,Hong Kong Exchanges and Clearing Ltd,HK0388045442,0.11
2020-08-31,China Unicom Hong Kong Ltd,HK0000049939,0.11
2020-08-31,BOC Hong Kong Holdings Ltd,HK2388011192,0.11
2020-08-31,CITIC Ltd,HK0267001375,0.11
2020-08-31,Sun Hung Kai Properties Ltd,HK0016000132,0.11
2020-08-31,Hang Seng Bank Ltd,HK0011000095,0.11
2020-08-31,Techtronic Industries Co Ltd,HK0669013440,0.11
2020-08-31,China Resources Land Ltd,KYG2108Y1052,0.11
2020-08-31,Geely Automobile Holdings Ltd,KYG3777B1032,0.11
2020-08-31,CLP Holdings Ltd,HK0002007356,0.11
2020-08-31,MTR Corp Ltd,HK0066009694,0.11
2020-08-31,China Overseas Land & Investment Ltd,HK0688002218,0.11
2020-08-31,CK Hutchison Holdings Ltd,KYG217651051,0.11
2020-08-31,Sands China Ltd,KYG7800X1079,0.11
2020-08-31,Galaxy Entertainment Group Ltd,HK0027032686,0.11
2020-08-31,CK Infrastructure Holdings Ltd,BMG2178K1009,0.11
2020-08-31,CK Asset Holdings Ltd,KYG2177B1014,0.11
2020-08-31,Hong Kong and China Gas Co Ltd,HK0003000038,0.11
2020-08-31,Power Assets Holdings Ltd,HK0006000050,0.11
2020-08-31,Henderson Land Development Co Ltd,HK0012000102,0.11
2020-08-31,Sunny Optical Technology Group Co Ltd,KYG8586D1097,0.11
2020-08-31,Link Real Estate Investment Trust,HK0823032773,0.11
2020-08-31,Shenzhou International Group Holdings Ltd,KYG8087W1015,0.11
2020-08-31,WH Group Ltd,KYG960071028,0.11
2020-08-31,China Mengniu Dairy Co Ltd,KYG210961051,0.11
2020-08-31,Sino Biopharmaceutical Ltd,KYG8167W1380,0.11
2020-08-31,Wharf Real Estate Investment Company Ltd,KYG9593A1040,0.11
2020-08-31,CSPC Pharmaceutical Group Ltd,HK1093012172,0.11
2020-08-31,Hang Lung Properties Ltd,HK0101000591,0.11
2020-08-31,Hengan International Group Company Ltd,KYG4402L1510,0.11
2020-08-31,New World Dev,HK0000608585,0.11
2020-08-31,CountryGarden,KYG245241032,0.11
2020-08-31,AAC Tech Hldg,KYG2953R1149,0.11
2020-08-31,BOCOM,CNE100000205,0.11
2020-08-31,Swire Pacific,HK0019000162,0.11
2020-08-31,China Shenhua,CNE1000002R0,0.11
2020-08-31,Sino Land,HK0083000502,0.11
2020-08-31,Want Want China,KYG9431R1039,0.11
2020-09-30,Tencent Holdings Ltd,KYG875721634,0.1
2020-09-30,Industrial and Commercial Bank of China Ltd,CNE1000003G1,0.1
2020-09-30,Alibaba Group Holding Ltd,KYG017191142,0.1
2020-09-30,China Mobile Ltd,HK0941009539,0.1
2020-09-30,Bank of China Ltd,CNE1000001Z5,0.1
2020-09-30,China Construction Bank Corp,CNE1000002H1,0.1
2020-09-30,HSBC Holdings PLC,GB0005405286,0.1
2020-09-30,PetroChina Co Ltd,CNE1000003W8,0.1
2020-09-30,Xiaomi Corp,KYG9830T1067,0.1
2020-09-30,China Life Insurance Co Ltd,CNE1000002L3,0.1
2020-09-30,Ping An Insurance Group Co of China Ltd,CNE1000003X6,0.1
2020-09-30,CNOOC Ltd,HK0883013259,0.1
2020-09-30,China Petroleum & Chemical Corp,CNE1000002Q2,0.1
2020-09-30,AIA Group Ltd,HK0000069689,0.1
2020-09-30,Hong Kong Exchanges and Clearing Ltd,HK0388045442,0.1
2020-09-30,China Unicom Hong Kong Ltd,HK0000049939,0.1
2020-09-30,BOC Hong Kong Holdings Ltd,HK2388011192,0.1
2020-09-30,CITIC Ltd,HK0267001375,0.1
2020-09-30,Sun Hung Kai Properties Ltd,HK0016000132,0.1
2020-09-30,Hang Seng Bank Ltd,HK0011000095,0.1
2020-09-30,Techtronic Industries Co Ltd,HK0669013440,0.1
2020-09-30,China Resources Land Ltd,KYG2108Y1052,0.1
2020-09-30,Geely Automobile Holdings Ltd,KYG3777B1032,0.1
2020-09-30,CLP Holdings Ltd,HK0002007356,0.1
2020-09-30,MTR Corp Ltd,HK0066009694,0.1
2020-09-30,China Overseas Land & Investment Ltd,HK0688002218,0.1
2020-09-30,CK Hutchison Holdings Ltd,KYG217651051,0.1
2020-09-30,Sands China Ltd,KYG7800X1079,0.1
2020-09-30,Galaxy Entertainment Group Ltd,HK0027032686,0.1
2020-09-30,CK Infrastructure Holdings Ltd,BMG2178K1009,0.1
2020-09-30,CK Asset Holdings Ltd,KYG2177B1014,0.1
2020-09-30,Hong Kong and China Gas Co Ltd,HK0003000038,0.1
